,descrip,total_prediccion_2024
0,ACCESORIO CINTA TAPIZADO,4265.536924048625
0,ACETATO,7452.585124066014
0,ACETATO SPANDEX,763.9487080162206
0,ALFOMBRA TAPIZMEL,107.65090226134342
0,ANTISOLAR,512.4479176016174
0,ANTISOLAR JACQUARD,588.9422820453115
0,ARPILLERA,377.0096776240948
0,BENGALINA,905.33146380641
0,BOAL LISO,852.035169088069
0,BOAL RUSTICO,169.76487241383293
0,BROCATO,735.4171278650119
0,BRODERIE ESPANHOL,960.8008365556786
0,BRODERIE LOLA,375.3338081185592
0,BRODERIE SPANDEX,316.3139139205355
0,BUZO PA,7954.917366304653
0,CANVAS AQUABLOCK LISO,151.3699398525196
0,CANVAS COTTON,104.44513477348013
0,CANVAS ESTAMPADO,129.63901083326698
0,CASHMERE INGLES,234.66703267868272
0,CHENILLE,113.34839101473246
0,CONVEX XL,258.3041259711435
0,CORDERITO,110.87262344319343
0,CREPE BOUCLE,1168.1403612883387
0,CREPE BOUCLE ESTAMPADO,1309.421967316784
0,CREPE DRAPE,120.67652874270986
0,CREPE MILENA,170.78680230244248
0,CREPE MOSS LISO,157.97148207633373
0,CREPE MOSS SPANDEX,2110.9033202945466
0,CREPE OSAKA,888.970663184992
0,CREPE REVERSIBLE,337.6742874281808
0,CUERINA AFELPADA,129.30855461822978
0,CUERINA SUPER AMAZONAS,100.2925966547957
0,DENIM CAMISAS,280.22732293928334
0,DEPORTIVO FRISADO,118.68121818796051
0,DIOLEN LISO,1302747.578483824
0,DRIL DACA ESTAMPADO,452.48527952626887
0,DRIL NAVIDAD,266.6555996167004
0,DRY FIT,3748.9123972899533
0,DRY FIT PREMIUM,3377.550765267766
0,ENCAJE REBORDE,219.6081175169345
0,ENTRETELA DE PUNTO,189.54903104100748
0,ENTRETELA PEGABLE 30,204.33363102234418
0,FIBRANA ESTAMPADA,6502.9558466306025
0,FIBRANA ESTAMPADA 32S,354.6817710644232
0,FIBRANA LINO,219.55590270332007
0,FIBRANA LINO SP,290.5324352783445
0,FIBRANA LISA,8853.865653911018
0,FIBRANA NYLON ESTAMPADO,403.0464239536213
0,GABARDINA AMERICANA,256.8877226497232
0,GABARDINA FOURWAY,1039.464475095567
0,GABARDINA LISO,1124.2950528610577
0,GABARDINA SPANDEX CANEX,320.5176577616282
0,GASA CREPE,213.44788922632023
0,GASA ESTAMPADO ELUNEY,208.7737687957023
0,GASA GEORGETTE,252.45820621913964
0,GASA GEORGETTE ESTAMPADO,135.4295507151064
0,GASA LISO ELUNEY,107.72304747797324
0,GASA MUSELINA,1248.7297125798418
0,GROSS ESTAMPADO ELUNEY,127.59762594230519
0,GUATA 100,188.4680326829094
0,GUATA 300,107.85211789275384
0,GUATA 80,143.36954788064443
0,HILOS PANAMA PREMIUM,115.59323417923935
0,JACQUARD SASTRE IKAL,104.07739948408062
0,JERSEY ELIZABETH,146569.77703424702
0,JERSEY LYCRA,279.2125966915694
0,JERSEY MODAL LISO,287.0569577731513
0,JERSEY SEDA,13853.30936077937
0,LAME PLISSE,323.1659264890308
0,LIENZO,156.82895539727247
0,LIENZO AHO POI,232.65102082607697
0,LIENZO TUSSOR,144.48842693826737
0,LIENZO XXL,210.55807010217484
0,LUREX SPANDEX,237.53956448878225
0,LYCRA SEDA,343.798904034247
0,LYCRA SEGUNDA PIEL,187.23643388427203
0,LYCRA SPORT FLEX,245.50623871804612
0,MALLA LUREX,136.8584457169059
0,MALLA SEGUNDA PIEL,130.24131611445398
0,MANTELERIA CUADRILLE,231.07184756643608
0,MANTELERIA ESTAMPADO,6162.806783287728
0,MANTELERIA NAVIDAD,4220.481602301049
0,MANTELERIA TROPICAL CUADRILLE,173.32513751445367
0,MICRO FOURWAY ESTAMPADO,265.28074948426047
0,MICRO TUL,232.45028436706866
0,MICRO TWILL ESTAMPADO,160.17851553773446
0,MICROFIBRA,3096.898341938105
0,MICROFIBRA SPANDEX,2968.441671494011
0,MICROFIBRA SPANDEX SOFT,376.2604522704431
0,MICROTUL LOLA,142.63095095810434
0,MODAL ESTAMPADO,2903.2420804940107
0,MOLETON CATIONIC,186.02932867681375
0,MOLETON INFANTIL,117.36271304112488
0,MOLETON MELANGE,5090.068461082635
0,MORLEY ESTAMPADO,259.22895693128373
0,MORLEY LISO,420.14934133464607
0,MORLEY LUREX,126.83228895310482
0,MORLEY SOFT,1979.1287365633727
0,MOSS ESTAMPADO,191.59050422952868
0,MUSELINA SPANDEX,950.5295843004745
0,ORGANZA CRISTAL,150.5531951023086
0,OXFORD PREMIUM,748.8587589070229
0,PANA BONDEADO,105.60130882029962
0,PANA CHESTER WR,164.38914623056212
0,PANA LONDON,257.419774095749
0,PANA ROYAL,484.0291450145529
0,PANA SHERPA,541.4362888722377
0,PANAMA,129.54954059530863
0,PANHO LISO,285.88586133707855
