,codigo,clase,descrip,cod_sector,um,costo_prom,costo_cif,costo_fob,art_venta,art_inv,art_compra,art_gramado,img,estado_venta,composicion,temporada,ligamento,combinacion,especificaciones,acabado,tipo,estetica,ancho,espesor,gramaje_prom,rendimiento,produc_ancho,produc_largo,produc_alto,produc_costo,mnj_x_lotes,cant_retazo,precio_retazo,sistema_liado,tags,visible_web,web_min_stock,shopify_id,tipo_iva,estado
51,AC052,Articulo,REPUESTOS,107,Unid,63269.38,63269.38,,True,True,True,False,,Normal,,Oto-Inv,,,,Mate,Punto,Liso,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,Si,0.0,0.0,Manual,,false,,,iva_10,Activo
52,B0001,Articulo,JERSEY ELIZABETH,101,Mts,7438.17,11152.25,,True,True,True,True,,Normal,100% Poliéster,Perm,Jersey,,El tejido Jersey Elizabeth es suave y elástico al tacto. Ideal para prendas informales y forrería. ,Mate,Punto,Liso,1.7,0.44,145.0,4.05,0.0,0.0,0.0,,Si,3.0,9000.0,Manual,,true,5.0,,iva_10,Activo
53,B0002,Articulo,PIQUE T/C,101,Mts,12851.0,12851.0,,True,True,True,True,,Normal,POLIESTER/ALGODÓN,Perm,Por Trama,NINGUNA,"TELA TEXTURADA, TACTO LISO Y SUAVE",Mate,Punto,Liso,1.9,0.63,196.0,2.65,0.0,0.0,0.0,,Si,3.0,18500.0,Manual,,,,,iva_10,Activo
54,B0003,Articulo,MOLETON LISO,101,Mts,8035.32,10298.72,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,,"El Moleton Liso es una tela suave, térmica y afelpada al dorso. Es ideal para prendas de invierno. ",Mate,Punto,Liso,1.65,1.97,240.0,2.53,0.0,0.0,0.0,,Si,3.0,12000.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
55,B0004,Articulo,MOLETON INFANTIL,101,Mts,15548.24,18145.46,,True,True,True,True,,Normal,100% Poliéster,Oto-Inv,Jersey,,"El Moleton Infantil es una tela suave, térmica y afelpada al dorso. Es ideal para prendas de invierno. ",Mate,Punto,Estampado,1.88,1.51,279.0,1.9,0.0,0.0,0.0,,Si,3.0,22500.0,Pieza_Elastizada,,false,,,iva_10,Activo
56,B0005,Articulo,BUZO PA,101,Mts,8316.41,8089.45,,True,True,True,True,,Normal,100% Poliéster,Perm,Tricot/Jersey,,"El Buzo PA o deportiva es un tejido de alto rendimiento, versátil y de fácil cuidado, se usa para uniformes escolares o prendas deportivas. De tacto es semi áspero y elastizado, no necesita planchado y es de secado rápido.",Semi Brilloso,Punto,Liso,1.6,0.74,230.0,2.72,0.0,0.0,0.0,,Si,3.0,9000.0,Pieza_Elastizada,,true,5.0,,iva_10,Activo
57,B0006,Articulo,CONVEX L,101,Mts,5077.0,5077.0,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Por Trama,NINGUNA,TELA TEXTURADA SUAVE Y LIVIANA,Semi Brilloso,Punto,Liso,1.6,0.63,155.0,3.92,0.0,0.0,0.0,,Si,3.0,7000.0,Manual,,,,,iva_10,Activo
58,B0007,Articulo,RIBB PRETINA,101,Mts,9988.28,9093.6,,True,True,True,True,,Normal,100% POLIESTER,Oto-Inv,Ribb,NINGUNA,TELA ACANALADA CON DOBLE ELASTICIDAD,Semi Brilloso,Punto,Liso,1.9,0.8,182.0,2.97,0.0,0.0,0.0,,Si,3.0,17500.0,Pieza_Elastizada,,,,,iva_10,Activo
59,B0008,Articulo,JERSEY ESTAMPADO,101,Mts,8131.0,0.0,,True,True,True,True,,Normal,POLIESTER/SPANDEX,Oto-Inv,Jersey,NINGUNA,TELA ELASTICA DE TACTO SUAVE,Mate,Punto,Estampado,1.7,0.5,162.0,3.67,0.0,0.0,0.0,,Si,3.0,11500.0,Manual,,,,,iva_10,Activo
60,B0009,Articulo,ACETATO,101,Mts,7051.86,10186.25,,True,True,True,True,,Normal,100% Poliéster,Perm,Por Trama,Reves con Felpa,"El Acetato es una tela deportiva, térmica y de alto rendimiento. Ideal para indumentarias deportivas. ",Semi Brilloso,Punto,Liso,1.65,0.68,240.0,2.52,0.0,0.0,0.0,,Si,3.0,9000.0,Pieza_Rigida,,false,,,iva_10,Activo
